ID,Units,Subtotal,Date,FY
37536,4,71.96,7/5/2020,2021
37573,5,75.95,7/1/2020,2021
37585,3,50.97,7/1/2020,2021
37586,3,89.97,7/1/2020,2021
37587,2,50.98,7/1/2020,2021
37588,2,25.98,7/1/2020,2021
37589,2,16.98,7/1/2020,2021
37590,10,102.9,7/1/2020,2021
37594,5,66.95,7/1/2020,2021
37595,2,26.98,7/1/2020,2021
37596,3,73.97,7/1/2020,2021
37597,2,16.98,7/1/2020,2021
37599,1,10.99,7/1/2020,2021
37600,2,21.98,7/1/2020,2021
37601,4,45.96,7/1/2020,2021
37602,4,39.96,7/1/2020,2021
37603,8,232.42,7/1/2020,2021
37604,1,39.99,7/1/2020,2021
37606,2,26.98,7/1/2020,2021
37607,9,116.91,7/1/2020,2021
37608,1,10.99,7/1/2020,2021
37609,1,18.99,7/1/2020,2021
37610,1,10.99,7/1/2020,2021
37611,1,7.99,7/1/2020,2021
37612,9,160.91,7/1/2020,2021
37613,1,389.99,7/1/2020,2021
37614,7,78.93,7/1/2020,2021
37615,2,15.98,7/1/2020,2021
37616,1,9.99,7/1/2020,2021
37617,5,42.95,7/1/2020,2021
37618,4,50.96,7/1/2020,2021
37619,3,18.97,7/1/2020,2021
37620,5,40.95,7/1/2020,2021
37621,4,28.42,7/1/2020,2021
37622,3,48.97,7/1/2020,2021
37624,10,348.9,7/1/2020,2021
37625,9,92.91,7/1/2020,2021
37626,6,76.94,7/1/2020,2021
37627,1,8.99,7/1/2020,2021
37628,9,103.91,7/1/2020,2021
37629,2,26.98,7/1/2020,2021
37630,5,69.95,7/1/2020,2021
37631,1,8.99,7/1/2020,2021
37632,3,57.97,7/1/2020,2021
37633,7,153.93,7/1/2020,2021
37635,1,6.99,7/1/2020,2021
37636,5,50.95,7/1/2020,2021
37637,2,49.98,7/1/2020,2021
37638,6,58.94,7/1/2020,2021
37639,3,55.97,7/1/2020,2021
37640,2,69.98,7/1/2020,2021
37641,2,13.98,7/1/2020,2021
37642,6,94.94,7/1/2020,2021
37643,5,65.95,7/1/2020,2021
37644,2,51.98,7/1/2020,2021
37645,2,19.98,7/1/2020,2021
37647,3,55.97,7/1/2020,2021
37648,3,28.97,7/1/2020,2021
37649,3,53.97,7/1/2020,2021
37650,5,91.45,7/1/2020,2021
37651,2,16.98,7/1/2020,2021
37654,2,30.98,7/2/2020,2021
37656,7,68.93,7/2/2020,2021
37657,2,18.98,7/2/2020,2021
37658,12,110.88,7/2/2020,2021
37659,2,29.98,7/2/2020,2021
37660,3,75.97,7/2/2020,2021
37661,4,31.96,7/2/2020,2021
37662,8,101.92,7/2/2020,2021
37663,12,215.88,7/2/2020,2021
37664,1,29.99,7/2/2020,2021
37665,3,26.97,7/2/2020,2021
37667,7,61.89,7/2/2020,2021
37668,2,37.98,7/2/2020,2021
37669,20,293.8,7/2/2020,2021
37670,7,202.93,7/2/2020,2021
37672,18,170.78,7/2/2020,2021
37673,8,87.92,7/2/2020,2021
37674,1,16.99,7/2/2020,2021
37675,2,34.98,7/2/2020,2021
37676,2,14.98,7/2/2020,2021
37677,3,34.97,7/2/2020,2021
37678,2,31.98,7/2/2020,2021
37679,11,150.89,7/2/2020,2021
37680,5,51.95,7/2/2020,2021
37681,3,27.97,7/2/2020,2021
37682,1,8.99,7/2/2020,2021
37683,6,67.94,7/2/2020,2021
37684,9,104.91,7/2/2020,2021
37686,3,22.97,7/2/2020,2021
37687,1,19.99,7/2/2020,2021
37688,2,21.98,7/2/2020,2021
37690,11,159.89,7/2/2020,2021
37691,3,23.97,7/2/2020,2021
37692,3,27.97,7/2/2020,2021
37693,2,36.98,7/2/2020,2021
37694,4,40.96,7/2/2020,2021
37695,5,74.95,7/2/2020,2021
37696,7,99.93,7/2/2020,2021
