Date,Volume
7/1/2018,1461
8/1/2018,1186
9/1/2018,1193
10/1/2018,1084
11/1/2018,979
12/1/2018,761
1/1/2019,777
2/1/2019,753
3/1/2019,1135
4/1/2019,1380
5/1/2019,1207
6/1/2019,1160
7/1/2019,1280
8/1/2019,1308
9/1/2019,1209
10/1/2019,1082
11/1/2019,1033
12/1/2019,704
1/1/2020,979
2/1/2020,1285
3/1/2020,949
4/1/2020,1212
5/1/2020,1679
6/1/2020,1753
7/1/2020,1706
8/1/2020,1618
9/1/2020,1596
10/1/2020,1494
11/1/2020,1155
12/1/2020,1013
1/1/2021,1259
2/1/2021,1379
3/1/2021,1916
4/1/2021,2061
5/1/2021,1767
6/1/2021,1614
7/1/2021,1610
8/1/2021,1627
9/1/2021,1749
10/1/2021,1532
11/1/2021,1178
12/1/2021,1032
1/1/2022,1304
2/1/2022,1562
3/1/2022,1555
4/1/2022,1581
5/1/2022,1618
