Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
2/5/2010,98499.12,42.31,2.572,,,,,,211.0963582,8.106,FALSE
2/12/2010,79636.32,38.51,2.548,,,,,,211.2421698,8.106,TRUE
2/19/2010,72377.79,39.93,2.514,,,,,,211.2891429,8.106,FALSE
2/26/2010,55590.73,46.63,2.561,,,,,,211.3196429,8.106,FALSE
3/5/2010,65525.74,46.5,2.625,,,,,,211.3501429,8.106,FALSE
3/12/2010,45046.81,57.79,2.667,,,,,,211.3806429,8.106,FALSE
3/19/2010,41069.55,54.58,2.72,,,,,,211.215635,8.106,FALSE
3/26/2010,40796.33,51.45,2.732,,,,,,211.0180424,8.106,FALSE
4/2/2010,50079.67,62.27,2.719,,,,,,210.8204499,7.808,FALSE
4/9/2010,43346.92,65.86,2.77,,,,,,210.6228574,7.808,FALSE
4/16/2010,38711.22,66.32,2.808,,,,,,210.4887,7.808,FALSE
4/23/2010,42222.53,64.84,2.795,,,,,,210.4391228,7.808,FALSE
4/30/2010,38131.53,67.41,2.78,,,,,,210.3895456,7.808,FALSE
5/7/2010,39104.1,72.55,2.835,,,,,,210.3399684,7.808,FALSE
5/14/2010,35355.34,74.78,2.854,,,,,,210.3374261,7.808,FALSE
5/21/2010,30922.75,76.44,2.826,,,,,,210.6170934,7.808,FALSE
5/28/2010,31378.88,80.44,2.759,,,,,,210.8967606,7.808,FALSE
6/4/2010,38638.6,80.69,2.705,,,,,,211.1764278,7.808,FALSE
6/11/2010,41297.84,80.43,2.668,,,,,,211.4560951,7.808,FALSE
6/18/2010,43244.02,84.11,2.637,,,,,,211.4537719,7.808,FALSE
6/25/2010,42363.96,84.34,2.653,,,,,,211.3386526,7.808,FALSE
7/2/2010,36242.12,80.91,2.669,,,,,,211.2235333,7.787,FALSE
7/9/2010,34523.84,80.48,2.642,,,,,,211.108414,7.787,FALSE
7/16/2010,32796.05,83.15,2.623,,,,,,211.1003854,7.787,FALSE
7/23/2010,33638.52,83.36,2.608,,,,,,211.2351443,7.787,FALSE
7/30/2010,36106.41,81.84,2.64,,,,,,211.3699032,7.787,FALSE
8/6/2010,39070.7,87.16,2.627,,,,,,211.5046621,7.787,FALSE
8/13/2010,42051.15,87,2.692,,,,,,211.6394211,7.787,FALSE
8/20/2010,44878.45,86.65,2.664,,,,,,211.6033633,7.787,FALSE
8/27/2010,36690.76,85.22,2.619,,,,,,211.5673056,7.787,FALSE
9/3/2010,43630.1,81.21,2.577,,,,,,211.5312479,7.787,FALSE
9/10/2010,44555.16,78.69,2.565,,,,,,211.4951902,7.787,TRUE
9/17/2010,43582.89,82.11,2.582,,,,,,211.5224596,7.787,FALSE
9/24/2010,39528.86,80.94,2.624,,,,,,211.5972246,7.787,FALSE
10/1/2010,39017.88,71.89,2.603,,,,,,211.6719895,7.838,FALSE
10/8/2010,30051.47,63.93,2.633,,,,,,211.7467544,7.838,FALSE
10/15/2010,32775.14,67.18,2.72,,,,,,211.8137436,7.838,FALSE
10/22/2010,34301.02,69.86,2.725,,,,,,211.8612937,7.838,FALSE
10/29/2010,34596.86,69.64,2.716,,,,,,211.9088438,7.838,FALSE
11/5/2010,38960.78,58.74,2.689,,,,,,211.9563939,7.838,FALSE
11/12/2010,44777.94,59.61,2.728,,,,,,212.003944,7.838,FALSE
11/19/2010,32072.93,51.41,2.771,,,,,,211.8896737,7.838,FALSE
11/26/2010,196810.42,64.52,2.735,,,,,,211.7484333,7.838,TRUE
