Date,Arrivals
11/1/2015 00:00,2
11/1/2015 01:00,9
11/1/2015 02:00,6
11/1/2015 03:00,1
11/1/2015 04:00,2
11/1/2015 05:00,3
11/1/2015 06:00,3
11/1/2015 07:00,11
11/1/2015 08:00,10
11/1/2015 09:00,7
11/1/2015 10:00,14
11/1/2015 11:00,14
11/1/2015 12:00,2
11/1/2015 13:00,4
11/1/2015 14:00,18
11/1/2015 15:00,5
11/1/2015 16:00,11
11/1/2015 17:00,7
11/1/2015 18:00,10
11/1/2015 19:00,10
11/1/2015 20:00,4
11/1/2015 21:00,7
11/1/2015 22:00,8
11/1/2015 23:00,6
11/2/2015 00:00,2
11/2/2015 01:00,4
11/2/2015 02:00,3
11/2/2015 03:00,2
11/2/2015 04:00,6
11/2/2015 05:00,7
11/2/2015 06:00,3
11/2/2015 07:00,5
11/2/2015 08:00,6
11/2/2015 09:00,11
11/2/2015 10:00,7
11/2/2015 11:00,11
11/2/2015 12:00,6
11/2/2015 13:00,7
11/2/2015 14:00,12
11/2/2015 15:00,10
11/2/2015 16:00,13
11/2/2015 17:00,11
11/2/2015 18:00,7
11/2/2015 19:00,10
11/2/2015 20:00,4
11/2/2015 21:00,8
11/2/2015 22:00,5
11/2/2015 23:00,3
11/3/2015 00:00,2
11/3/2015 01:00,2
11/3/2015 02:00,4
11/3/2015 03:00,4
11/3/2015 04:00,1
11/3/2015 05:00,5
11/3/2015 06:00,6
11/3/2015 07:00,5
11/3/2015 08:00,7
11/3/2015 09:00,6
11/3/2015 10:00,13
11/3/2015 11:00,14
11/3/2015 12:00,8
11/3/2015 13:00,15
11/3/2015 14:00,9
11/3/2015 15:00,8
11/3/2015 16:00,9
11/3/2015 17:00,13
11/3/2015 18:00,11
11/3/2015 19:00,8
11/3/2015 20:00,10
11/3/2015 21:00,7
11/3/2015 22:00,2
11/3/2015 23:00,4
11/4/2015 00:00,3
11/4/2015 01:00,7
11/4/2015 02:00,4
11/4/2015 03:00,6
11/4/2015 04:00,2
11/4/2015 05:00,3
11/4/2015 06:00,5
11/4/2015 07:00,5
11/4/2015 08:00,8
11/4/2015 09:00,12
11/4/2015 10:00,5
11/4/2015 11:00,12
11/4/2015 12:00,9
11/4/2015 13:00,6
11/4/2015 14:00,7
11/4/2015 15:00,13
11/4/2015 16:00,8
11/4/2015 17:00,17
11/4/2015 18:00,10
11/4/2015 19:00,9
11/4/2015 20:00,8
11/4/2015 21:00,6
11/4/2015 22:00,8
11/4/2015 23:00,2
11/5/2015 00:00,5
11/5/2015 01:00,7
11/5/2015 02:00,0
11/5/2015 03:00,5
11/5/2015 04:00,3
11/5/2015 05:00,2
11/5/2015 06:00,4
11/5/2015 07:00,8
11/5/2015 08:00,9
11/5/2015 09:00,15
11/5/2015 10:00,7
11/5/2015 11:00,8
11/5/2015 12:00,12
11/5/2015 13:00,12
11/5/2015 14:00,10
11/5/2015 15:00,8
11/5/2015 16:00,15
11/5/2015 17:00,13
11/5/2015 18:00,7
11/5/2015 19:00,3
11/5/2015 20:00,7
11/5/2015 21:00,11
11/5/2015 22:00,8
11/5/2015 23:00,5
11/6/2015 00:00,1
11/6/2015 01:00,2
11/6/2015 02:00,5
11/6/2015 03:00,3
11/6/2015 04:00,6
11/6/2015 05:00,2
11/6/2015 06:00,0
11/6/2015 07:00,3
11/6/2015 08:00,12
11/6/2015 09:00,6
11/6/2015 10:00,12
11/6/2015 11:00,9
11/6/2015 12:00,13
11/6/2015 13:00,9
11/6/2015 14:00,8
11/6/2015 15:00,9
11/6/2015 16:00,12
11/6/2015 17:00,11
11/6/2015 18:00,5
11/6/2015 19:00,13
11/6/2015 20:00,6
11/6/2015 21:00,4
11/6/2015 22:00,8
11/6/2015 23:00,6
11/7/2015 00:00,3
11/7/2015 01:00,7
11/7/2015 02:00,2
11/7/2015 03:00,5
11/7/2015 04:00,5
11/7/2015 05:00,2
11/7/2015 06:00,3
11/7/2015 07:00,0
11/7/2015 08:00,6
11/7/2015 09:00,12
11/7/2015 10:00,10
11/7/2015 11:00,12
11/7/2015 12:00,13
11/7/2015 13:00,17
11/7/2015 14:00,11
11/7/2015 15:00,6
11/7/2015 16:00,12
11/7/2015 17:00,8
11/7/2015 18:00,8
11/7/2015 19:00,7
11/7/2015 20:00,12
11/7/2015 21:00,9
11/7/2015 22:00,4
11/7/2015 23:00,6
11/8/2015 00:00,6
11/8/2015 01:00,1
11/8/2015 02:00,3
11/8/2015 03:00,3
11/8/2015 04:00,2
11/8/2015 05:00,4
11/8/2015 06:00,2
11/8/2015 07:00,4
11/8/2015 08:00,7
11/8/2015 09:00,4
11/8/2015 10:00,4
11/8/2015 11:00,11
11/8/2015 12:00,8
11/8/2015 13:00,9
11/8/2015 14:00,8
11/8/2015 15:00,13
11/8/2015 16:00,15
11/8/2015 17:00,7
11/8/2015 18:00,19
11/8/2015 19:00,16
11/8/2015 20:00,13
11/8/2015 21:00,6
11/8/2015 22:00,8
11/8/2015 23:00,9
11/9/2015 00:00,7
11/9/2015 01:00,1
11/9/2015 02:00,0
11/9/2015 03:00,1
11/9/2015 04:00,0
11/9/2015 05:00,3
11/9/2015 06:00,8
11/9/2015 07:00,8
11/9/2015 08:00,11
11/9/2015 09:00,13
11/9/2015 10:00,17
11/9/2015 11:00,18
11/9/2015 12:00,13
11/9/2015 13:00,8
11/9/2015 14:00,12
11/9/2015 15:00,7
11/9/2015 16:00,10
11/9/2015 17:00,7
11/9/2015 18:00,7
11/9/2015 19:00,12
11/9/2015 20:00,10
